source_type,set_code,question_no,global_no,subject,topic,question_format,difficulty,legal_basis_hint,objective,draft_status,fact_check_status,question_text_draft,scenario_outline,correct_answer_text_draft,correct_rationale_points,choices_summary,sub_statements_summary,explanation_draft,fact_check_sources,fact_check_checklist,notes
original,orig_set01,1,1,民法・借地借家法,同時履行の抗弁,single_choice,basic,民法533条,双務契約における同時履行の抗弁の基本構造を正しく判定できるかを確認する。,drafting,checked,売買契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,売買契約または請負契約を素材にし、相手方の履行提供がない場面で自己の履行を拒めるかを問う。,1,双務契約であること / 相手方債務が弁済期にあること / 履行の提供がないこと,1:AがBに建物を売り渡し、Bが代金を支払う契約において、建物の引渡し日と代金の支払日が同一の日とされている場合、Bが代金の履行の提供をしないときは、Aは建物の引渡しを拒むことができる。 / 2:双務契約の一方当事者は、相手方の債務がまだ弁済期にない場合でも、相手方が将来履行しないおそれがあるときは、当然に自己の履行を拒むことができる。 / 3:双務契約の一方当事者は、相手方が履行しないときは、催告をしなくても、常に直ちに契約を解除することができるから、自己の履行を拒む必要はない。 / 4:双務契約の一方当事者が同時履行の抗弁を主張したときは、相手方に対する損害賠償請求権も当然に失われる。,,正解は1です。双務契約では、相手方の債務が弁済期にあり、その履行の提供がないときは、自己の債務の履行を拒むことができます。これが同時履行の抗弁です。2は、相手方の債務がまだ弁済期にない以上、民法533条の要件を満たしません。3は、債務不履行があっても解除には原則として催告が必要であり、常に直ちに解除できるわけではありません。4も、同時履行の抗弁は履行を拒めるという抗弁であって、損害賠償請求権が当然に消えるわけではありません。,https://www.japaneselawtranslation.go.jp/en/laws/view/4848,正答肢が民法533条の要件に合致しているか / 誤答肢が別制度の混同に基づく誤りになっているか / 解説冒頭の正解番号と correct_answer_text が一致しているか,民法533条の要件に絞った基本問題。Japanese Law Translation Database の Article 533 を基準に確認。
original,orig_set01,2,2,民法・借地借家法,履行遅滞と解除,case_based,standard,民法541条 / 民法542条,催告解除と無催告解除の違いを事例から判定できるかを確認する。,drafting,checked,契約の解除に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,区分所有者Aが工事請負契約または売買契約を締結し、相手方が履行期に履行しない事例を作る。,3,履行遅滞だけでは原則として相当期間を定めた催告が必要 / 履行不能その他の無催告解除事由との区別 / 軽微な債務不履行の場合の扱い,1:売買契約において、売主が履行期に引渡しをしなかったときは、買主は、催告をしなくても、常に直ちに契約を解除することができる。 / 2:請負契約において、仕事の完成が全部不能となった場合でも、注文者は、相当の期間を定めて催告をしなければ契約を解除することができない。 / 3:特定の日までにマンション総会資料を印刷して納品しなければ契約の目的を達することができない契約において、その日までに履行がされなかったときは、注文者は、催告をしないで契約を解除することができる。 / 4:相当の期間を定めて履行を催告し、その期間内に履行がないときは、債務不履行が契約及び取引上の社会通念に照らして軽微であっても、債権者は必ず契約を解除することができる。,,正解は3です。契約の性質上、特定の日時までに履行しなければ契約目的を達成できない場合に、その時期を経過しても履行がなされなければ、債権者は催告をしないで直ちに解除できます。これは民法542条1項4号の場面です。1は、単なる履行遅滞で常に無催告解除できるわけではないので誤りです。2も、履行全部不能なら無催告解除が可能です。4は、催告後に履行がなくても、不履行が軽微であれば解除はできません。,https://www.japaneselawtranslation.go.jp/en/laws/view/4848,事例設定が無催告解除事由に当たっていないか / 正答肢が541条・542条の整理と矛盾しないか / 誤答肢の誤りが条文上明確か,民法541条・542条を使い分ける問題。Article 541 と Article 542(1)(iv) を確認。
original,orig_set01,3,3,民法・借地借家法,無断転貸と賃貸借解除,single_choice,standard,民法612条 / 無断転貸に関する判例,貸主・借主・転借人の三者関係を整理して、無断転貸時の効果を判断できるかを確認する。,drafting,checked,Aが所有するマンションの一室をBに賃貸している場合に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,区分所有者が専有部分を賃貸し、借主が無断で第三者へ転貸した事例にする。,4,無断転貸でも転貸借契約自体の効力は直ちに否定されないこと / 貸主による解除可否 / 貸主から転借人への明渡請求の根拠,1:BがAの承諾を得ずにCに転貸したときは、BとCとの間の転貸借契約は当然に無効となる。 / 2:BがAの承諾を得ずにCに転貸した場合でも、Aは、Bとの賃貸借契約を解除することができない。 / 3:Aの承諾を得ない転貸であっても、Aは、Bが賃料を支払っている限り、Bに対して何らの主張もすることができない。 / 4:BがAの承諾を得ずにCに当該専有部分を使用させたときは、Aは、Bとの賃貸借契約を解除することができる。,,正解は4です。賃借人は、賃貸人の承諾を得なければ、賃借物を転貸することができません。そして、その承諾を得ずに第三者に使用又は収益をさせたときは、賃貸人は契約を解除することができます。したがって4が正しいです。1は、無断転貸があるからといって転貸借契約が当然に無効となるわけではありません。2と3も、無断転貸に対して賃貸人の解除権が認められている以上、誤りです。,https://www.japaneselawtranslation.go.jp/en/laws/view/4848,転借人の地位について判例と矛盾していないか / 貸主の請求根拠が適切か / 事例上、承諾の有無が曖昧になっていないか,民法612条1項・2項ベース。複雑な判例論点を避け、条文で確実に切れる構成にした。
original,orig_set01,4,4,民法・借地借家法,債務承認と時効,count,advanced,民法152条 / 民法166条,一部弁済や承認が時効に与える効果を複数の短文から見分けられるかを確認する。,drafting,checked,マンションの管理費債権の消滅時効に関する次のアからエまでの記述のうち、民法の規定によれば、正しいものはいくつあるか。,管理費滞納を素材にしつつ、時効の完成猶予・更新に関する短文を4つ用意する。,2,承認による時効更新 / 催告のみの効果の限界 / 一部弁済の法的評価,1:一つ / 2:二つ / 3:三つ / 4:四つ,ア:管理費債権は、債権者が権利を行使することができることを知った時から5年間行使しないときは、時効により消滅するのが原則である。 / イ:滞納者が、滞納管理費の一部であることを明示して金銭を支払ったときは、その行為は債務の承認に当たり得る。 / ウ:債務の承認があっても、それまで進行していた時効期間はそのまま維持され、残り期間だけが進行する。 / エ:債務の承認は、訴えの提起その他の裁判上の手続によってのみすることができ、一部弁済や支払約束では足りない。,正解は2です。正しいものはアとイの二つです。アは、債権は原則として、権利を行使することができることを知った時から5年間行使しないときに時効により消滅するため正しいです。イも、滞納額の一部であることを明示した支払は、債務の承認に当たり得ます。ウは、承認があるとそれまで進行していた時効は更新されるので誤りです。エも、債務の承認は裁判上の手続に限られず、一部弁済や支払約束などでも認められ得るため誤りです。,https://www.japaneselawtranslation.go.jp/en/laws/view/4848,各短文の真偽を条文・判例・通説で説明できるか / 個数問題として一意に解けるか / 管理費滞納の事例設定が古い法改正前提になっていないか,民法166条と152条を核にした個数問題。催告の6か月論点は今回は混ぜていない。
original,orig_set01,5,5,民法・借地借家法,定期建物賃貸借,single_choice,standard,借地借家法38条,定期建物賃貸借の期間満了通知と中途解約の要件を判定できるかを確認する。,drafting,checked,Aが、床面積80平方メートルのマンションの一室を、居住の用に供するため、Bと定期建物賃貸借契約を締結した場合に関する次の記述のうち、借地借家法の規定によれば、正しいものはどれか。,床面積200平方メートル未満の居住用区分所有建物を題材にする。,2,1年以上の契約の期間満了通知 / 居住用で床面積200平方メートル未満の場合の中途解約 / 再契約と正当事由の関係,1:契約期間を10か月と定めた定期建物賃貸借契約は、1年の契約期間とみなされる。 / 2:契約期間を2年と定めた場合、Aが期間満了の1年前から6か月前までの間に契約が終了する旨の通知をしなかったときは、その後Aが通知をしても、その通知の日から6か月を経過するまでは、契約の終了をBに対抗することができない。 / 3:Bが転勤により当該建物を自己の生活の本拠として使用することが困難となった場合でも、契約に中途解約条項がなければ、Bは中途解約の申入れをすることができない。 / 4:Aが、契約の更新がなく、期間満了により賃貸借が終了する旨を記載した書面をあらかじめ交付して説明しなかったとしても、定期建物賃貸借契約が書面で締結されていれば、その定めは有効である。,,正解は2です。定期建物賃貸借で期間が1年以上である場合、貸主は期間満了の1年前から6か月前までの間に終了通知をしなければ、その終了を賃借人に対抗できません。通知期間経過後に通知したときは、その通知の日から6か月を経過した後に終了を対抗できます。1は、定期建物賃貸借では1年未満の期間設定も可能なので誤りです。3も、床面積200平方メートル未満の居住用建物で、転勤等のやむを得ない事情があるときは、賃借人から中途解約の申入れができます。4は、事前説明がなければ更新しない旨の定めは無効となるため誤りです。,https://elaws.jp/view/403AC0000000090 / https://www.mlit.go.jp/jutakukentiku/house/teishaku/tc01-010.html,期間満了通知の期間が正しいか / 200平方メートル未満の居住用建物の扱いが正しいか / 普通建物賃貸借のルールが混入していないか,借地借家法38条3項、5項、6項、7項を反映。MLITの定期賃貸住宅契約説明書式も確認対象。
original,orig_set01,6,6,区分所有法,専有部分と共用部分,comparison_table,basic,区分所有法2条 / 区分所有法4条,専有部分と共用部分の基本的な区別を、構造と規約設定の両面から判定できるかを確認する。,drafting,checked,区分所有建物の専有部分及び共用部分に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,廊下、階段、規約共用部分、付属建物を素材にする。,2,複数の専有部分に通ずる廊下や階段は、その構造上、共用部分となること / 規約により建物の一部や附属建物を共用部分とすることができること / 専有部分の成立は構造と利用上の独立性が前提となること,1:数戸の専有部分に通ずる廊下であっても、特定の区分所有者が日常的に多く使用しているときは、その者の専有部分とすることができる。 / 2:建物の一部又は附属建物については、規約で共用部分と定めることができる。 / 3:専有部分とは、区分所有者が単独で所有する意思を有している部分をいい、構造上又は利用上の独立性は要しない。 / 4:附属建物は、常に専有部分としてのみ取り扱われ、共用部分とする余地はない。,,正解は2です。区分所有法では、廊下や階段のように構造上、全員又は一部の区分所有者の共用に供されるべき部分は共用部分となります。また、規約により、建物の一部や附属建物を共用部分とすることもできます。したがって2が正しいです。1は、利用実態だけで専有部分になるわけではありません。3も、専有部分には構造上・利用上の独立性が必要です。4も、附属建物を規約で共用部分とすることができるため誤りです。,https://www.japaneselawtranslation.go.jp/en/laws/view/4341/en,共用部分の定義が区分所有法2条4項、4条1項・2項と一致しているか / 専有部分の説明に独立性要件が落ちていないか / 規約共用部分の記述が第三者対抗要件と混ざっていないか,Article 2 と Article 4 を基準に作成。基本問題として平易に保つ。
original,orig_set01,7,7,区分所有法,敷地利用権と分離処分,single_choice,standard,区分所有法22条 / 区分所有法23条,専有部分と敷地利用権の分離処分禁止原則と、その例外の考え方を判定できるかを確認する。,drafting,checked,区分所有者の敷地利用権に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,共有持分による敷地利用権と規約による例外を素材にする。,3,共有その他数人で有する権利である敷地利用権は、専有部分と分離して処分できないこと / ただし規約に別段の定めを置く余地があること / 善意の相手方への対抗制限があること,1:敷地利用権が共有持分である場合でも、区分所有者は、専有部分だけを自由に第三者へ譲渡することができる。 / 2:敷地利用権と専有部分の分離処分禁止は強行規定であり、規約で別段の定めを置くことは一切できない。 / 3:敷地利用権が数人で有する所有権その他の権利である場合、区分所有者は、規約に別段の定めがない限り、専有部分と敷地利用権とを分離して処分することができない。 / 4:専有部分と敷地利用権の分離処分が禁止されている場合、その違反処分の無効は、相手方が善意であっても常に主張することができる。,,正解は3です。区分所有法22条1項は、敷地利用権が数人で有する所有権その他の権利である場合、規約に別段の定めがない限り、専有部分とその敷地利用権を分離して処分することを禁止しています。したがって3が正しいです。1は本則に反します。2も、規約で別段の定めを置く余地があるため誤りです。4は、違反処分の無効は善意の相手方には対抗できない場合があるので誤りです。,https://www.japaneselawtranslation.go.jp/en/laws/view/4341/en,22条1項本文とただし書の関係が崩れていないか / 23条の善意保護の説明が逆転していないか / 敷地利用権の権利形態の表現が広すぎないか,Article 22(1) と Article 23 を基準に確認。
original,orig_set01,8,8,区分所有法,総会決議要件,combination,standard,区分所有法31条 / 区分所有法39条,普通決議事項と規約の設定・変更等の特別決議事項を区別できるかを確認する。,drafting,checked,次のアからエまでの事項のうち、建物の区分所有等に関する法律の規定によれば、集会において区分所有者及び議決権の各4分の3以上の多数による決議を要するもののみの組合せはどれか。,普通決議と規約変更決議、使用禁止請求決議を混ぜる。,2,規約の設定・変更・廃止は31条1項により4分の3決議 / 使用禁止請求の決議は58条2項により4分の3決議 / 通常の集会決議は39条1項により過半数,1:アとイ / 2:イとウ / 3:ウとエ / 4:アとエ,ア:管理者を選任すること。 / イ:規約を変更すること。 / ウ:義務違反行為をした区分所有者に対し、専有部分の使用禁止を求める訴えの提起を決議すること。 / エ:共用部分の管理に関する通常の事項を決すること。,正解は2です。イとウが、区分所有者及び議決権の各4分の3以上の多数による決議を要する事項です。イの規約変更は区分所有法31条1項、ウの使用禁止請求に関する決議は58条2項によります。これに対し、アの管理者選任やエの共用部分の通常管理事項は、原則として39条1項により過半数決議で足ります。,https://www.japaneselawtranslation.go.jp/en/laws/view/4341/en,31条1項と39条1項の決議要件を混同していないか / 58条2項の決議要件を正しく書いているか / 組合せ問題として一意に解けるか,31条、39条、58条を横断する基本組合せ問題。
original,orig_set01,9,9,区分所有法,義務違反者への措置,precedent_fill,advanced,区分所有法57条〜60条,義務違反者に対する段階的措置と、占有者に対する契約解除・引渡請求の構造を整理できるかを確認する。,drafting,checked,建物の区分所有等に関する法律に基づく義務違反者への措置に関する次の記述のうち、正しいものはどれか。,区分所有者と占有者を区別し、57条・58条・59条・60条の段階差を問う。,4,57条は差止め等の請求 / 58条は合理的期間の使用禁止請求 / 59条は区分所有権等の競売請求 / 60条は占有者との契約解除及び引渡請求,1:占有者が共同の利益に反する行為をした場合でも、区分所有法60条に基づき契約解除及び引渡しを求めることはできず、常に59条の競売請求によらなければならない。 / 2:区分所有者に対する専有部分の使用禁止請求は、集会の普通決議があれば足りる。 / 3:義務違反行為の停止請求は、裁判を提起するために常に区分所有者全員が共同して原告とならなければならない。 / 4:占有者による義務違反行為が共同生活上著しい障害となり、他の方法では障害の除去が困難であるときは、集会決議に基づき、占有者の専有部分の使用収益を目的とする契約の解除及びその専有部分の引渡しを求める訴えを提起することができる。,,正解は4です。区分所有法60条は、占有者による義務違反行為について、共同生活上の著しい障害があり、他の方法での解決が困難なときに、集会決議に基づき、占有者の使用収益契約の解除と専有部分の引渡しを求める訴えを認めています。1は、占有者に対する場面で59条ではなく60条が問題となるので誤りです。2も、使用禁止請求の決議は4分の3決議が必要です。3も、57条3項により、集会で指定された管理者や区分所有者が訴えを提起できます。,https://www.japaneselawtranslation.go.jp/en/laws/view/4341/en,57条〜60条の対象者と請求内容が入れ替わっていないか / 58条・59条・60条の決議要件が正しいか / 占有者に対する措置として60条の説明が正確か,過去問の穴埋め型を踏まえつつ、条文構造を問う4択へ変換した。
original,orig_set01,10,10,区分所有法,滅失・復旧・建替え,case_based,advanced,区分所有法61条 / 区分所有法62条,一部滅失の程度に応じて、各区分所有者による復旧、復旧決議、建替え決議の関係を判定できるかを確認する。,drafting,checked,マンションの一部滅失とその後の復旧又は建替えに関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,建物価格の2分の1以下の一部滅失と、2分の1超の一部滅失を対比させる。,1,建物価格の2分の1以下の一部滅失では、各区分所有者が復旧し得ること / 2分の1超の一部滅失では、3/4決議による復旧決議が可能であること / 建替え決議は4/5決議であること,1:建物価格の2分の1以下に相当する部分が滅失した場合、各区分所有者は、所定の決議が先にされていない限り、滅失した共用部分及び自己の専有部分を復旧することができる。 / 2:建物価格の2分の1を超える部分が滅失した場合、復旧に関する決議は一切できず、常に直ちに建替え決議をしなければならない。 / 3:建替え決議は、区分所有者及び議決権の各4分の3以上の多数で足りる。 / 4:建物価格の2分の1以下に相当する部分が滅失した場合、各区分所有者が単独で復旧できるのは自己の専有部分に限られ、共用部分については常に集会決議が必要である。,,正解は1です。区分所有法61条1項は、建物価格の2分の1以下に相当する一部滅失であれば、各区分所有者が、所定の決議が先行していない限り、滅失した共用部分及び自己の専有部分を復旧できるとしています。したがって1が正しいです。2は、2分の1を超える一部滅失でも、61条5項により3/4決議で復旧決議をする余地があるため誤りです。3も、建替え決議は62条1項により4/5決議です。4は、2分の1以下の一部滅失なら共用部分も復旧し得るので誤りです。,https://www.japaneselawtranslation.go.jp/en/laws/view/4341/en,61条1項と61条5項の適用場面が逆転していないか / 62条1項の4/5決議が正しく記載されているか / 一部滅失と全部滅失を混同していないか,Article 61 と Article 62 の境界を意識したケース問題。
