record_id,source_kind,source_file,source_question_id,source_exam_code,source_exam_year,source_set_code,source_question_no,source_choice_label,subject,topic,question_type_original,question_type_marubatsu,statement_text,answer_bool,answer_label,explanation_text,legal_basis,rewrite_note,review_status
official_h19_q1_c1,official,管理業務主任者問題確認一覧.csv,h19_q1,h19,平成19年度,,1,1,民法・借地借家法,同時履行の抗弁,single_choice,true_false,双務契約では、相手方の債務が弁済期にあり、その履行の提供があるまで、自己の債務の履行を拒むことができる。,1,○,この記述は正しいです。双務契約では、相手方の債務が弁済期にあり、その履行の提供があるまで、自己の履行を拒むことができます。,民法533条,元の選択肢をそのまま一問一答向けの断定文として使用。,rewritten
official_h19_q1_c2,official,管理業務主任者問題確認一覧.csv,h19_q1,h19,平成19年度,,1,2,民法・借地借家法,危険負担と報酬債権,single_choice,true_false,一定の役務提供契約では、当事者双方の責めに帰することができない事由によって役務の提供ができなくなっても、報酬債権は常に消滅しない。,0,×,この記述は誤りです。役務提供が不能になった場合でも、報酬債権が常にそのまま残るわけではありません。元の文は「常に消滅しない」と断定しすぎています。,民法（契約総論）,「常に」を残したまま×文として整理。,rewritten
official_h19_q1_c3,official,管理業務主任者問題確認一覧.csv,h19_q1,h19,平成19年度,,1,3,民法・借地借家法,履行遅滞と解除,single_choice,true_false,当事者の一方が履行期に債務を履行しないときは、相手方は催告をしなくても直ちに契約を解除できる。,0,×,この記述は誤りです。履行遅滞を理由とする解除では、原則として相当期間を定めた催告が必要です。,民法541条,問いかけ表現を除去し断定文へ変換。,rewritten
official_h19_q1_c4,official,管理業務主任者問題確認一覧.csv,h19_q1,h19,平成19年度,,1,4,民法・借地借家法,解除と損害賠償,single_choice,true_false,契約を解除したときは、損害賠償を請求することはできない。,0,×,この記述は誤りです。契約を解除しても、損害賠償請求が妨げられるわけではありません。,民法545条,元の「解除権を行使したとき」を一問一答向けに簡潔化。,rewritten
official_h19_q3_c1,official,管理業務主任者問題確認一覧.csv,h19_q3,h19,平成19年度,,3,1,民法・借地借家法,使用貸借,single_choice,true_false,使用貸借では、借主が死亡したときは、原則として相続人は目的物を明け渡さなければならない。,1,○,この記述は正しいです。使用貸借は借主の死亡によって終了するのが原則なので、相続人は目的物を返還することになります。,民法（使用貸借）,「本件専有部分」を一般化して自然な断定文にした。,rewritten
official_h19_q3_c2,official,管理業務主任者問題確認一覧.csv,h19_q3,h19,平成19年度,,3,2,民法・借地借家法,使用貸借の必要費,single_choice,true_false,使用貸借の目的物について通常の必要費は、貸主が負担する。,0,×,この記述は誤りです。使用貸借では、通常の必要費は借主が負担するのが原則です。,民法（使用貸借）,「本件専有部分」を一般化。,rewritten
official_h19_q3_c3,official,管理業務主任者問題確認一覧.csv,h19_q3,h19,平成19年度,,3,3,民法・借地借家法,使用貸借と瑕疵責任,single_choice,true_false,使用貸借の貸主は、賃貸借の賃貸人と同じく、目的物の瑕疵について常に担保責任を負う。,0,×,この記述は誤りです。使用貸借の貸主が責任を負うのは、瑕疵を知りながら告げなかった場合などに限られ、賃貸借と同じように常に責任を負うわけではありません。,民法（使用貸借）,「常に」を残して×文として処理。,rewritten
official_h19_q3_c4,official,管理業務主任者問題確認一覧.csv,h19_q3,h19,平成19年度,,3,4,民法・借地借家法,使用貸借の返還時期,single_choice,true_false,返還時期を定めた使用貸借でも、貸主は自己が使用する必要があれば、いつでも返還請求できる。,0,×,この記述は誤りです。返還時期を定めた使用貸借では、貸主がいつでも自由に返還請求できるわけではありません。,民法（使用貸借）,事例主語を一般化。,rewritten
original_orig_set01_q1_c1,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q1,,,orig_set01,1,1,民法・借地借家法,同時履行の抗弁,single_choice,true_false,AがBに建物を売り渡し、引渡し日と代金支払日が同一の日とされている場合、Bが代金の履行の提供をしないときは、Aは建物の引渡しを拒むことができる。,1,○,この記述は正しいです。引渡しと代金支払が同時履行関係にあるため、Bが履行の提供をしない限り、Aは引渡しを拒むことができます。,民法533条,事例文はそのまま使えるため最小限修正。,rewritten
original_orig_set01_q1_c2,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q1,,,orig_set01,1,2,民法・借地借家法,同時履行の抗弁,single_choice,true_false,双務契約の一方当事者は、相手方の債務がまだ弁済期にない場合でも、相手方が将来履行しないおそれがあるときは、当然に自己の履行を拒むことができる。,0,×,この記述は誤りです。同時履行の抗弁は、相手方の債務が弁済期にあることが前提なので、まだ弁済期にない段階では当然には認められません。,民法533条,「当然に」を残して×文として処理。,rewritten
original_orig_set01_q1_c3,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q1,,,orig_set01,1,3,民法・借地借家法,同時履行の抗弁,single_choice,true_false,双務契約の一方当事者は、相手方が履行しないときは、催告をしなくても、常に直ちに契約を解除することができるから、自己の履行を拒む必要はない。,0,×,この記述は誤りです。債務不履行があっても、解除には原則として催告が必要であり、常に直ちに解除できるわけではありません。,民法541条,解除論点と同時履行抗弁の違いが見えるように残した。,rewritten
original_orig_set01_q1_c4,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q1,,,orig_set01,1,4,民法・借地借家法,同時履行の抗弁,single_choice,true_false,双務契約の一方当事者が同時履行の抗弁を主張したときは、相手方に対する損害賠償請求権も当然に失われる。,0,×,この記述は誤りです。同時履行の抗弁は履行を拒めるという抗弁にとどまり、損害賠償請求権が当然に消えるわけではありません。,民法533条,「当然に失われる」を誤りの核として残した。,rewritten
original_orig_set01_q2_c1,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q2,,,orig_set01,2,1,民法・借地借家法,履行遅滞と解除,case_based,true_false,売買契約において、売主が履行期に引渡しをしなかったときは、買主は催告をしなくても、常に直ちに契約を解除することができる。,0,×,この記述は誤りです。単なる履行遅滞では、原則として相当期間を定めた催告が必要です。,民法541条,元の「常に」を維持して×文化。,rewritten
original_orig_set01_q2_c2,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q2,,,orig_set01,2,2,民法・借地借家法,履行遅滞と解除,case_based,true_false,請負契約において、仕事の完成が全部不能となった場合でも、注文者は、相当の期間を定めて催告をしなければ契約を解除することができない。,0,×,この記述は誤りです。履行が全部不能であれば、無催告解除が認められる場面があります。,民法542条,全部不能の場面として整理。,rewritten
original_orig_set01_q2_c3,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q2,,,orig_set01,2,3,民法・借地借家法,履行遅滞と解除,case_based,true_false,特定の日までにマンション総会資料を印刷して納品しなければ契約の目的を達することができない契約で、その日までに履行がされなかったときは、注文者は催告をしないで契約を解除することができる。,1,○,この記述は正しいです。特定の時までに履行しなければ契約目的を達成できない場合には、催告をしないで解除できることがあります。,民法542条,時期遅れで目的達成不能となる事例をそのまま採用。,rewritten
